je	I
tu	you
il	he
elle	she
nous	we
vous	you
ills (m)	they
elles (f)	they
acheter	buy
zéro	0
un	1
deux	2
trois	3
quatre	4
cinq	5
six	6
sept	7
huit	8
neuf	9
dix	10
onze	11
douze	12
treize	13
quatorze	14
quinze	15
seize	16
dix-sept	17
dix-huit	18
dix-neuf	19
vingt	20
vingt et un	21
vingt-deux	22
vingt-trois	23
trente	30
trente et un	31
trente-deux	32
quarante	40
cinquante	50
soixante	60
soixante-dix	70
soixante et onze	71
soixante-douze	72
soixante-dix-huit	78
quatre-vingts	80
quatre-vingt-un	81
quatre-vingt-deux	82
quatre-vingt-dix	90
quatre-vingt-onze	91
quatre-vingt-douze	92
cent	100
cent un	101
deux cents	200
deux cent un	201
trois cents	300
quatre cents	400
cinq cents	500
six cents	600
sept cents	700
huit cents	800
neuf cents	900
mille	1
mille cent un	1.101
dix mille	10.000
un million	1.000.000
deux millions	2.000.000
un milliard	1.000.000.000
un billion	1.000.000.000.000
premier, -ière	1st
deuxième, second(e)	2nd
troisième	3rd
quatrième	4th
cinquième	5th
sixième	6th
septième	7th
huitième	8th
neuvième	9th
dixième	10th
vingtième	20th
vingt et unième	21st
centième	100th
deux cent unième	201st
millième	1000th
la moitié; un(e) demi(e)	½
zéro virgule cinq	0,5
un tiers	03-Jan
un quart	¼
trois quarts	¾
trois deux tiers	3 2/3
trois ans et demi	3½ years
Quelle est la date aujourd'hui?	What is today's dateي
C'est&nbsp;&nbsp;le premier mai	It is May 1st
C'est&nbsp;&nbsp;le deux mars	It is&nbsp;&nbsp;March 2nd
C'est&nbsp;&nbsp;le trente et un octobre	It is&nbsp;&nbsp;October 31st
aujourd'hui	today
hier	yesterday
demain	tomorrow
avant-hier	day before yesterday
après-demain	day after tomorrow
lundi	Monday
mardi	Tuesday
mercredi	Wednesday
jeudi	Thursday
vendredi	Friday
samedi	Saturday
dimanche	Sunday
C'est lundi.	It's Monday.
Quel jour sommes-nous?	What day of the week is itي
janvier	January
février	February
mars	March
avril	April
mai	May
juin	June
juillet	July
août	August
septembre	September
octobre	October
novembre	November
décembre	December
les Saisons (f)	Seasons
l'hiver (m)	winter
le printemps	spring
l'été (m)	summer
l'automne (m)	autumn
la semaine	week
la semaine dernière	last week
la semaine prochaine	next week
dans huit jours	in a week
dans quinze jours	in two weeks
hebdomadaire	weekly
le week-end, la fin de la semaine	weekend
le mois	month
l'an (m), l'année (f)	year
il y a trois ans	three years ago
l'année dernière	last year
la décennie	decade
dans les années cinquante	in the fifties
le siècle	century
les Fêtes (f)	Holidays
Noël (m)	Christmas
la veille de Noël	Christmas Eve
le jour de l'an	New Year's Day
Pâques (f.pl)	Easter
les Mois (m)	Months
les Jours (m) de la Semaine	Days of the Week
les Dates (f)	Dates
en hiver	in the winter
au printemps	in the spring
en été	in the summer
en automne	in the fall
s'il vous plaît / s'il te plaît (fam)	please
merci	thank you
Je vous en prie.	You're welcome.
De rien. Il n'y a pas de quoi.	No problem.
Bienvenu	Welcome to...
Bonjour	Good morning / Good afternoon / Hello
Bonsoir	Good evening
Salut	Hi / bye
Au revoir	Goodbye
à bientôt.	see you soon&lt;br /&gt;see you&lt;br /&gt;goodbye&lt;br /&gt;bye for now&lt;br /&gt;bye&lt;br /&gt;bye-bye
? tout à l'heure.	See you later.
? la prochaine.	Until next time.
Bonne journée.	Have a nice day.
Comment allez-vous? Comment vas-tu? (fam)	How are you doingي
Je vais...	I'm...
[très] bien	[very] well
[très] mal	[very] bad
comme-ci, comme-ça	so-so
(Comment) ça va?	How's it goingي
?a va.	It's okay.
?a va bien.	It's going well.
...mal.	...badly.
Pas mal.	Not bad
Quoi de neuf?	What's newي
Rien de speciale.	Nothing much.
oui	yes
non	no
