What does SQL stand for?	Structured Query Language
What do you call it when you ask a database a question using SQL?	querying
What are primary keys? Foreign Keys?	Primary keys are the specific column in the database that are completely unique to that row. For example, the ISBN number for books. If it's not unique, we often just use an Integer that increments (think Jane.com orders). The foreign key is a key that helps us relate information in another database (think Rails relationship databases)
How do you end SQL statements?	With a semicolon.
While SQL is not case sensitive, what's a common convention?	SQL keywords are in caps while user-defined words are in lower case.
Single line SQL comments. Multi-line SQL comments.	--<div><br /></div><div>/*</div><div><br /></div><div>*/</div>
Naming conventions for:<div><br /></div><div>table names</div><div>column names</div><div><br /></div>	Table names will be singular (user, email, phone). column names will never be repeated inside of a particular databse.<div><br /></div><div>**Also of note is that there are various tables inside of one database. To access a table:</div><div><br /></div><div>Database.Table</div><div><br /></div><div>To access a particular column:</div><div><br /></div><div>Database.Column</div>
How do you create a database?	CREATE DATABASE someName
How do you create a table in a database?	CREATE TABLE databaseName.tableName (...);<div><br /></div><div>Inside the parenthesis goes the columns</div>
What is XAMPP? What does it stand for?	It is a bundle of software that allows you to set up your computer as a webserver.<div><br /></div><div>X - Cross-platform</div><div>A - Apache</div><div>M - MySQL</div><div>P - PHP</div><div>P - Perl</div>
How will you know if you've got XAMMP running correctly?	"Type in:<div><br /></div><div>http://localhost</div><div><br /></div><div>in your browser and it should take you to a screen that says something like ""Welcome to XXAMP""</div>"
Where do you control XAMPP on your Mac?	"You can go the XAMPP control panel by typing in ""manager-osx"" into your search bar."
What is phpMyAdmin? Where do you find it?	Once you launch your web server using XAMPP, you can go to http://localhost and click on the tab that says phpMyAdmin. I guess this is the interface that allows us to work with the database without having to run it with the added complexity of php scripts.
Where is phpMyAdmin using XAMPP?	localhost/phpmyadmin
What is the auto increment option?	It's an option when you set the column names (says AI with a checkbox). I bet this is the way Jane.com handles order numbers.
What tab do you click on to use the SQL command line?	The SQL tab (after clicking on the table you want to update).
What's the syntax for accessing a database called movies and a table called movies? What if you're already in the movies database?	`movies`.`movies`<div><br /></div><div>`movies`</div><div><br /></div><div>**Of note here is that you use the back-tick character (not single or double quotation marks)</div>
Using the following information, insert the correct things in the database:<div><br /></div><div>Database: movies</div><div>Table: movies</div><div>Columns/Values:</div><div><br /></div><div>movie_id : Auto Increment</div><div>title: Day After Tomorrow</div><div>description: good movie</div>	<div>INSERT INTO `movies`.`movies`</div><div>(`movie_id`, `title`, `description`)</div><div>VALUES</div><div>(NULL, 'Day After Tomorrow', 'good movie');</div><div><br /></div><div>**Of note here is that you use the backticks for the first part and single quotation marks for the second part.</div>
How do you add multiple things to a database using a query?	Add multiple things below VALUES, separated by commas. For example:<div><br /></div><div>INSERT INTO `movies`</div><div>(`movie_id`, `title`, `description`)</div><div>VALUES</div><div>(NULL, 'Sightseers', 'People seeing sights'),</div><div>(NULL, 'Deep Blue', 'Lots of sharks.');</div>
Why do we use the backticks? Are they necessary?	We use the backticks so that if we happen to use a MySQL keyword as a column name, it would still work. If that is not the case, we don't really need to use the backticks.
How would you delete a database if it already exists importing a .sql file?	DROP DATABASE IF EXISTS database_name
How would you create a database if it doesn't exist (i.e. you're not sure if it exists)	CREATE DATABASE IF NOT EXISTS movies;
How would I get inside of a database from a .sql file? (Think cding into a folder).	USE database_name
How would you createa tabe with an integer id as the primary key, a name that is less than 100 character and can't be null, a birth day, a house with a 255 character limit, and a favorite food with a 20 character limit.	"<div><br /></div><div><img src=""Screen Shot 2017-02-03 at 8.22.04 PM.png"" /></div>"
What does the asterisk mean in SQL?	All fields.
How would you select all fields (assuming you're already in the database) from the movies table, with the first 30 records?	SELECT *<div>FROM `movies`</div><div>LIMIT 30</div>
