to, at	a
We're going to Granada tomorrow.	Vamos a Granada mañana.
down, downstairs, below	abajo
I'll wait for you downstairs.	Te espero abajo.
the fan	el abanico
Ladies use fans when it's hot.	Las damas usan abanicos cuando hace calor.
open	abierto
The bank stays open from eight until two.	El banco queda abierto desde las ocho hasta las dos.
to embrace	abrazar
He embraced his relatives before he left.	Abrazó a sus parientes antes de salir.
an embrace, a hug	un abrazo
Hugs for the children from all of us.	Abrazos para los niños de todos nosotros.
the overcoat	el abrigo
I always wear an overcoat when it's cold.	Siempre llevo un abrigo cuando hace frío.
to open	abrir
Open your mouth, said the dentist.	Abra la boca, dijo el dentista.
here (Rioplatense)	acá
Come here (Rioplatense) quickly.	Venga acá, rápido.
to end, to finish	acabar
Our work never ends.	Nuestro trabajo nunca acaba.
the action	la acción
His actions confuse me.	Sus acciones me confunden.
to accept	aceptar
Do you accept travelers checks?	Aceptan cheques de viajero?
about	acerca de
I'm looking for a book about medieval Spain.	Busco un libro acerca de la España medieval.
to approach	acercarse
Come closer and you'll all be able to see better.	Acérquense y podrán ver mejor.
to accompany, go with	acompañar
Will you all allow me to go with you?	Me permiten acompañarlos?
to advise	aconsejar
What do you advise me to do?	Qué me aconsejan hacer?
to remember	acordarse
Do you remember us?	Se acuerdan de nosotros?
to go to bed	acostarse
We always go to bed late when we visit a foreign country.	Siempre nos acostamos tarde cuando visitamos un país extranjero.
present, current	actual
The present government has many problems.	El gobierno actual tiene muchos problemas.
the agreement	el acuerdo
We agree with you.	Estamos de acuerdo con usted.
ahead	adelante
From now on, try (ustedes) to arrive on time.	De hoy en adelante, traten de llegar a tiempo.
furthermore, besides, moreover	además
I have no time for that, and furthermore I don't have any money.	No tengo tiempo para eso, y además no tengo dinero.
inside	adentro
I want to see what there is inside.	Quiero ver lo que hay adentro.
goodbye	adiós
Goodbye and good luck.	Adiós y buena suerte.
where	adónde
Where are you all going this afternoon?	Adónde van ustedes esta tarde?
the customs house	la aduana
It's necessary to go through Customs upon arriving.	Hay que pasar por la aduana al llegar.
the airport	el aeropuerto
There are many airlines in this airport.	Hay muchas aerolíneas en este aeropuerto.
to shave (oneself)	afeitarse
I shave every morning.	Me afeito todas las mañanas.
outside	afuera
See what's going on outside.	Mire qué pasa afuera.
the agent	el agente
A travel agent will arrange an excursion to Andalusia for you.	Un agente de viajes le arreglará una excursión a Andalucía.
pleasant	agradable
Our visit has been very pleasant.	Nuestra visita ha sido muy agradable.
to thank	agradecer
I thank you very much for your kindness.	Le agradezco mucho su amabilidad.
the water	el agua
It's a good idea to drink bottled water.	Es una buena idea beber agua embotellada.
to bear	aguantar
I can't bear the noise from the street.	No puedo aguantar el ruido de la calle.
the needle	la aguja
I always carry a needle in case of an emergency.	Siempre traigo una aguja en caso de emergencia.
now	ahora
I am busy now and can't go out.	Estoy ocupado ahora y no puedo salir.
the air	el aire
Open the window and you'll have fresh air.	Abra la ventana y tendrá aire fresco.
on, upon (doing something)	al (+ verbo en infinitivo)
Upon seeing what was happening (pasar), we decided to leave.	Al ver lo que pasaba, decidimos salir.
the mayor	el alcalde
The mayor's office is in the city hall.	La oficina del alcalde está en el ayuntamiento.
the bedroom	el dormitorio
We're looking for an apartment with two bedrooms.	Buscamos un apartamento con dos dormitorios.
the village	la aldea
I suggest that you visit some villages in the mountains.	Sugiero que visiten algunas aldeas en las montañas.
to be glad	alegrarse
I'm glad to see you all again.	Me alegro de verlos otra vez.
glad, happy	alegre
It seems that you are very happy today.	Parece que está muy alegre hoy.
something	algo
Do you have something to declare?	Tiene usted algo que declarar?
the cotton	el algodón
I prefer a cotton blouse.	Prefiero una blusa de algodón.
someone, somebody	alguien
I think someone is knocking at the door.	Creo que alguien llama a la puerta.
some, any	alguno
Some of you already know me.	Algunos de ustedes ya me conocen.
the department store	el almacén
You can buy almost everything in the big department stores.	Se puede comprar casi todo en los almacenes grandes.
the pillow	la almohada
Can all of you please bring up another pillow?	Me pueden subir otra almohada, por favor?
to eat lunch	almorzar
I try to eat lunch with my family if I can.	Trato de almorzar con la familia si puedo.
the lunch	el almuerzo
In Spain they serve lunch at about two o'clock.	En España sirven el almuerzo a eso de las dos.
to rent	alquilar
Where can I rent a car?	Dónde puedo alquilar un coche?
tall, high, stop	alto
There are many tall buildings downtown.	Hay muchos edificios altos en el centro.
student, pupil	alumno, alumna
He takes a group of students to Spain every summer.	Lleva un grupo de alumnos a España cada verano.
there	allí
I wouldn't like to live there.	No me gustaría vivir alli.
kind, likeable	amable
You're very kind.	Es usted muy amable.
to love	amar
