What's the Javascript equivalent to nil?	undefined
How would you print out two things with JavaScript?	"console.log(""thing one"", ""thing two"")"
What does Ruby and Javascript output for the following?<div><br /></div><div>10/3</div>	Ruby: 3<div><br /></div><div>Javascript: 3.33333333</div>
How would you get a random number with Javascript? How would you round that number down?	Math.random()<div><br /></div><div>Gives you a number between 0 and 1.</div><div><br /></div><div>Math.random() * 50</div><div><br /></div><div>Gives you a random number between 0 and 50 with decimals.</div><div><br /></div><div>Math.floor(Math.random() * 50)</div><div><br /></div><div>Give you a random number between 0 and 50 rounded down.</div>
How do you comment out a line in Javascript?	With double forward slash marks.<div><br /></div><div>// This is a comment</div>
How do you do a multi-line comment in Javascript?	/*<div><br /></div><div>this is a</div><div>multi line comment</div><div><br /></div><div>*/</div>
"How would you change the value of the following Javascript variable?<div><br /></div><div>var weather = ""Sunny"";</div>"	"weather = ""Cloudly"";<div><br /></div><div>// Of note here is that you don't need to say var again. That's only for initially declaring the variable.</div>"
What is string interpolation for Javascript?	"var myName = ""Chase Armstrong"";<div>console.log(""Hello my name is "" + myName + ""."")</div>"
How is if else control flow in Javascript?	if (someVariable) {<div>&nbsp; &nbsp;// something here</div><div>} else {</div><div>&nbsp; &nbsp;// something here</div><div>}</div>
How do you do comparison (equal) with Javascript?	===&nbsp;<div><br /></div><div>or&nbsp;</div><div><br /></div><div>!==</div>
How do you do an else if statement in Ruby? How about Javascript?	Javascript<div><br /></div><div>else if (someTest)</div><div><br /></div><div>Ruby</div><div><br /></div><div>elsif some_test</div>
What is the syntax for a switch statement in Javascript?	"<div>var color = ""red"";</div><div><br /></div>switch (color) {<div>&nbsp; &nbsp;case ""blue"":</div><div>&nbsp; &nbsp; &nbsp; console.log(""Really, blue?"");</div><div>&nbsp; &nbsp; &nbsp; break;</div><div>&nbsp; &nbsp;case ""red"":</div><div>&nbsp; &nbsp; &nbsp; console.log(""Nice, red."");</div><div>&nbsp; &nbsp; &nbsp; break;</div><div>&nbsp; &nbsp;default:</div><div>&nbsp; &nbsp; &nbsp; console.log(""Invalid color!"");</div><div>&nbsp; &nbsp; &nbsp; break;</div><div>}</div>"
What's a synonym for calling the function in Javascript?	Running the function. The best way to remember it is you call a function and it answers. It does something.
What's the syntax for writing a Javascript function?	"function writeName(name) {<div>&nbsp; &nbsp;console.log(""Your name is: "", name);</div><div>}</div>"
How do you call a Javascript function?	"sayMyName(""Chase"");<div><br /></div><div>or</div><div><br /></div><div>getResult();</div>"
What does Javascript do to return a value? How is it different than Ruby?	You have to use the return keyword. Contrast this with Ruby where you can have implicit returns on that last line of a Ruby method.
